output,parameter,S1,ST
N_packets,u,0.6386931707470005,0.6372164066435423
N_packets,mp,0.18032080460224525,0.1804811790049534
N_packets,r,0.0,0.0
N_packets,omega,0.0,0.0
N_packets,h_km,0.012609817201243653,0.010408858099440584
N_packets,ms,0.17697905148575271,0.18071045390517837
N_packets,g_gain,0.0,0.0
N_packets,k_fp,0.0,0.0
N_packets,spacing,0.0,0.0
N_total_inventory,u,0.6544973217284192,0.6668466905382097
N_total_inventory,mp,0.1789658468608766,0.18434293099075488
N_total_inventory,r,0.0,0.0
N_total_inventory,omega,0.0,0.0
N_total_inventory,h_km,0.0111308870358281,0.009704116222373138
N_total_inventory,ms,0.14220677355784447,0.15866198479320945
N_total_inventory,g_gain,0.0,0.0
N_total_inventory,k_fp,0.0,0.0
N_total_inventory,spacing,0.0,0.0
M_total_kg,u,0.7906999308314927,0.8094336878246579
M_total_kg,mp,0.005500329458690687,0.017178105115873213
M_total_kg,r,0.0,0.0
M_total_kg,omega,0.0,0.0
M_total_kg,h_km,0.011599213889847332,0.011779077098838056
M_total_kg,ms,0.17044530033885796,0.1925875276746066
M_total_kg,g_gain,0.0,0.0
M_total_kg,k_fp,0.0,0.0
M_total_kg,spacing,0.0,0.0
mass_multiplier,u,0.19581868529102167,0.4972630642985664
mass_multiplier,mp,0.09095007030955496,0.21899165016530062
mass_multiplier,r,0.0,0.0
mass_multiplier,omega,0.0,0.0
mass_multiplier,h_km,0.000457871339416063,0.031156831591074997
mass_multiplier,ms,0.34325941104106417,0.704180815625407
mass_multiplier,g_gain,0.0,0.0
mass_multiplier,k_fp,0.0,0.0
mass_multiplier,spacing,0.0,0.0
P_total_kW,u,0.6022631335917007,0.6098467966273191
P_total_kW,mp,0.15310842855572704,0.15640530882833684
P_total_kW,r,-1.4811954812686237e-06,2.1292834575179408e-08
P_total_kW,omega,5.9696485368894975e-06,1.495093727736083e-08
P_total_kW,h_km,0.01543484497968238,0.013292372191997992
P_total_kW,ms,0.22643968418853502,0.23077177048091613
P_total_kW,g_gain,0.0,0.0
P_total_kW,k_fp,0.0,0.0
P_total_kW,spacing,0.0,0.0
stress_margin,u,0.0,0.0
stress_margin,mp,0.43777991480723444,0.9640668778979763
stress_margin,r,0.03161525569145268,0.17711761660064024
stress_margin,omega,0.1783334575358327,0.35764477173346365
stress_margin,h_km,0.0,0.0
stress_margin,ms,0.0,0.0
stress_margin,g_gain,0.0,0.0
stress_margin,k_fp,0.0,0.0
stress_margin,spacing,0.0,0.0
thermal_margin,u,0.8170115161695405,0.8540082063996218
thermal_margin,mp,0.0,0.0
thermal_margin,r,0.1477092720512813,0.1823668493143457
thermal_margin,omega,0.0,0.0
thermal_margin,h_km,0.0,0.0
thermal_margin,ms,0.0,0.0
thermal_margin,g_gain,0.0,0.0
thermal_margin,k_fp,0.0,0.0
thermal_margin,spacing,0.0,0.0
k_eff,u,0.8111896417544581,0.8517968653734234
k_eff,mp,0.0,0.0
k_eff,r,0.15019363821907464,0.18815544819418786
k_eff,omega,0.0,0.0
k_eff,h_km,0.0,0.0
k_eff,ms,0.0,0.0
k_eff,g_gain,0.0,0.0
k_eff,k_fp,0.0,0.0
k_eff,spacing,0.0,0.0
debris_risk_score,u,0.0736815025002335,0.1595809913394045
debris_risk_score,mp,-0.003233469102877155,0.06774247080186843
debris_risk_score,r,0.08701238242943905,0.23707486346515158
debris_risk_score,omega,0.0,0.0
debris_risk_score,h_km,0.6079641564550863,0.6990963844285566
debris_risk_score,ms,0.021208865132453066,0.0960874783415873
debris_risk_score,g_gain,0.0,0.0
debris_risk_score,k_fp,0.0,0.0
debris_risk_score,spacing,0.0,0.0
kessler_ratio,u,-6.418509633936696e-18,2.0220443435925263e-32
kessler_ratio,mp,-1.1037978984317074e-17,1.4870902627262983e-32
kessler_ratio,r,0.337516246246053,0.5830871310866678
kessler_ratio,omega,0.0,0.0
kessler_ratio,h_km,0.41167837124953194,0.6419685800286385
kessler_ratio,ms,-2.065549657234897e-18,2.2818643392355998e-32
kessler_ratio,g_gain,0.0,0.0
kessler_ratio,k_fp,0.0,0.0
kessler_ratio,spacing,0.0,0.0
stream_self_sustaining,u,0.1685110669790445,0.37725026048568167
stream_self_sustaining,mp,0.013789527709043138,0.253458192982916
stream_self_sustaining,r,0.09815068199197108,1.4176523126409648
stream_self_sustaining,omega,0.0,0.0
stream_self_sustaining,h_km,-0.001172501271802758,0.0376359646092757
stream_self_sustaining,ms,0.07798353645442645,0.4930201783737022
stream_self_sustaining,g_gain,0.0,0.0
stream_self_sustaining,k_fp,0.0,0.0
stream_self_sustaining,spacing,-0.0003980968955643014,0.021359267257365682
service_lifetime_hr,u,0.09006597072679993,0.5018050041765806
service_lifetime_hr,mp,0.009994862577633101,0.5144591093799378
service_lifetime_hr,r,0.09299210755836933,0.9278573418160562
service_lifetime_hr,omega,0.0,0.0
service_lifetime_hr,h_km,0.0001374254442355187,0.10208237048558265
service_lifetime_hr,ms,0.10207047014482673,0.5126996746444095
service_lifetime_hr,g_gain,0.0,0.0
service_lifetime_hr,k_fp,0.0,0.0
service_lifetime_hr,spacing,-0.001830707602045447,0.046195780494634624
slingshot_dv_m_s,u,1.0050844403618786,1.0050507100783568
slingshot_dv_m_s,mp,0.0,0.0
slingshot_dv_m_s,r,0.0,0.0
slingshot_dv_m_s,omega,0.0,0.0
slingshot_dv_m_s,h_km,0.0,0.0
slingshot_dv_m_s,ms,0.0,0.0
slingshot_dv_m_s,g_gain,0.0,0.0
slingshot_dv_m_s,k_fp,0.0,0.0
slingshot_dv_m_s,spacing,0.0,0.0
