u,g_gain,eps,force_per_stream_n,k_control,k_fp,k_total,k_eff,omega_n_rad_s,period_s,zeta,bias_force_n,static_offset_m,packet_rate_hz,packet_period_s
10.0,0.02,0.0,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.0,0.0,150.0,0.006666666666666667
10.0,0.02,0.0001,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.001305,0.00087,150.0,0.006666666666666667
10.0,0.02,0.001,6.5249999999999995,1.5,0.0,1.5,1.5,0.03872983346207417,162.23114703894447,0.10327955589886445,0.013049999999999999,0.0087,150.0,0.006666666666666667
10.0,0.05,0.0,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.0,0.0,150.0,0.006666666666666667
10.0,0.05,0.0001,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.001305,0.000348,150.0,0.006666666666666667
10.0,0.05,0.001,6.5249999999999995,3.75,0.0,3.75,3.75,0.06123724356957945,102.60398641294913,0.06531972647421808,0.013049999999999999,0.0034799999999999996,150.0,0.006666666666666667
10.0,0.1,0.0,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.0,0.0,150.0,0.006666666666666667
10.0,0.1,0.0001,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.001305,0.000174,150.0,0.006666666666666667
10.0,0.1,0.001,6.5249999999999995,7.5,0.0,7.5,7.5,0.08660254037844387,72.55197456936871,0.046188021535170064,0.013049999999999999,0.0017399999999999998,150.0,0.006666666666666667
10.0,0.2,0.0,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.0,0.0,150.0,0.006666666666666667
10.0,0.2,0.0001,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.001305,8.7e-05,150.0,0.006666666666666667
10.0,0.2,0.001,6.5249999999999995,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.013049999999999999,0.0008699999999999999,150.0,0.006666666666666667
20.0,0.02,0.0,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.0,0.0,300.0,0.0033333333333333335
20.0,0.02,0.0001,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.00522,0.00087,300.0,0.0033333333333333335
20.0,0.02,0.001,26.099999999999998,6.0,0.0,6.0,6.0,0.07745966692414834,81.11557351947224,0.051639777949432225,0.052199999999999996,0.0087,300.0,0.0033333333333333335
20.0,0.05,0.0,26.099999999999998,15.0,0.0,15.0,15.0,0.1224744871391589,51.30199320647456,0.03265986323710904,0.0,0.0,300.0,0.0033333333333333335
