u,g_gain,eps,force_per_stream_n,k_control,k_fp,k_total,k_eff,omega_n_rad_s,period_s,zeta,bias_force_n,static_offset_m,packet_rate_hz,packet_period_s
10.0,0.02,0.0,4.35,1.0,0.0,1.0,1.0,0.03162277660168379,198.69176531592203,0.06324555320336758,0.0,0.0,100.0,0.01
10.0,0.02,0.0001,4.35,1.0,0.0,1.0,1.0,0.03162277660168379,198.69176531592203,0.06324555320336758,0.00087,0.00087,100.0,0.01
10.0,0.02,0.001,4.35,1.0,0.0,1.0,1.0,0.03162277660168379,198.69176531592203,0.06324555320336758,0.0087,0.0087,100.0,0.01
10.0,0.05,0.0,4.35,2.5,0.0,2.5,2.5,0.05,125.66370614359172,0.04,0.0,0.0,100.0,0.01
10.0,0.05,0.0001,4.35,2.5,0.0,2.5,2.5,0.05,125.66370614359172,0.04,0.00087,0.000348,100.0,0.01
10.0,0.05,0.001,4.35,2.5,0.0,2.5,2.5,0.05,125.66370614359172,0.04,0.0087,0.0034799999999999996,100.0,0.01
10.0,0.1,0.0,4.35,5.0,0.0,5.0,5.0,0.07071067811865475,88.85765876316732,0.0282842712474619,0.0,0.0,100.0,0.01
10.0,0.1,0.0001,4.35,5.0,0.0,5.0,5.0,0.07071067811865475,88.85765876316732,0.0282842712474619,0.00087,0.000174,100.0,0.01
10.0,0.1,0.001,4.35,5.0,0.0,5.0,5.0,0.07071067811865475,88.85765876316732,0.0282842712474619,0.0087,0.0017399999999999998,100.0,0.01
10.0,0.2,0.0,4.35,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.0,0.0,100.0,0.01
10.0,0.2,0.0001,4.35,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.00087,8.7e-05,100.0,0.01
10.0,0.2,0.001,4.35,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.0087,0.0008699999999999999,100.0,0.01
20.0,0.02,0.0,17.4,4.0,0.0,4.0,4.0,0.06324555320336758,99.34588265796101,0.03162277660168379,0.0,0.0,200.0,0.005
20.0,0.02,0.0001,17.4,4.0,0.0,4.0,4.0,0.06324555320336758,99.34588265796101,0.03162277660168379,0.00348,0.00087,200.0,0.005
20.0,0.02,0.001,17.4,4.0,0.0,4.0,4.0,0.06324555320336758,99.34588265796101,0.03162277660168379,0.0348,0.0087,200.0,0.005
20.0,0.05,0.0,17.4,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.0,0.0,200.0,0.005
20.0,0.05,0.0001,17.4,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.00348,0.000348,200.0,0.005
20.0,0.05,0.001,17.4,10.0,0.0,10.0,10.0,0.1,62.83185307179586,0.02,0.0348,0.0034799999999999996,200.0,0.005
20.0,0.1,0.0,17.4,20.0,0.0,20.0,20.0,0.1414213562373095,44.42882938158366,0.01414213562373095,0.0,0.0,200.0,0.005
20.0,0.1,0.0001,17.4,20.0,0.0,20.0,20.0,0.1414213562373095,44.42882938158366,0.01414213562373095,0.00348,0.000174,200.0,0.005
20.0,0.1,0.001,17.4,20.0,0.0,20.0,20.0,0.1414213562373095,44.42882938158366,0.01414213562373095,0.0348,0.0017399999999999998,200.0,0.005
20.0,0.2,0.0,17.4,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.0,0.0,200.0,0.005
20.0,0.2,0.0001,17.4,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.00348,8.7e-05,200.0,0.005
20.0,0.2,0.001,17.4,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.0348,0.0008699999999999999,200.0,0.005
40.0,0.02,0.0,69.6,16.0,0.0,16.0,16.0,0.12649110640673517,49.67294132898051,0.015811388300841896,0.0,0.0,400.0,0.0025
40.0,0.02,0.0001,69.6,16.0,0.0,16.0,16.0,0.12649110640673517,49.67294132898051,0.015811388300841896,0.01392,0.00087,400.0,0.0025
40.0,0.02,0.001,69.6,16.0,0.0,16.0,16.0,0.12649110640673517,49.67294132898051,0.015811388300841896,0.1392,0.0087,400.0,0.0025
40.0,0.05,0.0,69.6,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.0,0.0,400.0,0.0025
40.0,0.05,0.0001,69.6,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.01392,0.000348,400.0,0.0025
40.0,0.05,0.001,69.6,40.0,0.0,40.0,40.0,0.2,31.41592653589793,0.01,0.1392,0.0034799999999999996,400.0,0.0025
40.0,0.1,0.0,69.6,80.0,0.0,80.0,80.0,0.282842712474619,22.21441469079183,0.007071067811865475,0.0,0.0,400.0,0.0025
40.0,0.1,0.0001,69.6,80.0,0.0,80.0,80.0,0.282842712474619,22.21441469079183,0.007071067811865475,0.01392,0.000174,400.0,0.0025
