output,parameter,S1,ST
N_packets,u,0.6386931707470005,0.6372164066435423
N_packets,mp,0.18032080460224525,0.1804811790049534
N_packets,r,0.0,0.0
N_packets,omega,0.0,0.0
N_packets,h_km,0.012609817201243653,0.010408858099440584
N_packets,ms,0.17697905148575271,0.18071045390517837
N_packets,g_gain,0.0,0.0
N_packets,k_fp,0.0,0.0
N_packets,spacing,0.0,0.0
N_total_inventory,u,0.6544973217284192,0.6668466905382097
N_total_inventory,mp,0.1789658468608766,0.18434293099075488
N_total_inventory,r,0.0,0.0
N_total_inventory,omega,0.0,0.0
N_total_inventory,h_km,0.0111308870358281,0.009704116222373138
N_total_inventory,ms,0.14220677355784447,0.15866198479320945
N_total_inventory,g_gain,0.0,0.0
N_total_inventory,k_fp,0.0,0.0
N_total_inventory,spacing,0.0,0.0
M_total_kg,u,0.7906999308314927,0.8094336878246579
M_total_kg,mp,0.005500329458690687,0.017178105115873213
M_total_kg,r,0.0,0.0
M_total_kg,omega,0.0,0.0
M_total_kg,h_km,0.011599213889847332,0.011779077098838056
M_total_kg,ms,0.17044530033885796,0.1925875276746066
M_total_kg,g_gain,0.0,0.0
M_total_kg,k_fp,0.0,0.0
M_total_kg,spacing,0.0,0.0
mass_multiplier,u,0.19581868529102167,0.4972630642985664
mass_multiplier,mp,0.09095007030955496,0.21899165016530062
mass_multiplier,r,0.0,0.0
mass_multiplier,omega,0.0,0.0
mass_multiplier,h_km,0.000457871339416063,0.031156831591074997
mass_multiplier,ms,0.34325941104106417,0.704180815625407
mass_multiplier,g_gain,0.0,0.0
mass_multiplier,k_fp,0.0,0.0
mass_multiplier,spacing,0.0,0.0
P_total_kW,u,-0.000588167894615626,7.776218922415714e-05
P_total_kW,mp,-0.0004985631926024427,3.5828083913594196e-05
P_total_kW,r,-1.5285992176966833e-07,1.926836787623329e-12
P_total_kW,omega,-3.375829216467466e-08,4.0704406221826924e-13
P_total_kW,h_km,0.9993497693480817,0.999920627412094
P_total_kW,ms,3.0227057394085914e-05,9.355753735167634e-06
P_total_kW,g_gain,0.0,0.0
P_total_kW,k_fp,0.0,0.0
P_total_kW,spacing,0.0,0.0
stress_margin,u,0.0,0.0
stress_margin,mp,0.4377799148072345,0.9640668778979761
stress_margin,r,0.031615255691452675,0.1771176166006402
stress_margin,omega,0.17833345753583266,0.35764477173346365
stress_margin,h_km,0.0,0.0
stress_margin,ms,0.0,0.0
stress_margin,g_gain,0.0,0.0
stress_margin,k_fp,0.0,0.0
stress_margin,spacing,0.0,0.0
thermal_margin,u,0.0,0.0
thermal_margin,mp,0.0,0.0
thermal_margin,r,0.0,0.0
thermal_margin,omega,0.0,0.0
thermal_margin,h_km,0.0,0.0
thermal_margin,ms,0.0,0.0
thermal_margin,g_gain,0.0,0.0
thermal_margin,k_fp,0.0,0.0
thermal_margin,spacing,0.0,0.0
k_eff,u,0.4382450318564477,0.4497442510314204
k_eff,mp,0.13405385026199496,0.15380066552255287
k_eff,r,0.0,0.0
k_eff,omega,0.0,0.0
k_eff,h_km,0.0,0.0
k_eff,ms,0.0,0.0
k_eff,g_gain,0.1376296504917016,0.161737636066462
k_eff,k_fp,0.0005938200186771226,0.010248727057419391
k_eff,spacing,0.24344742631218333,0.2648947703775587
debris_risk_score,u,0.0736815025002335,0.1595809913394045
debris_risk_score,mp,-0.003233469102877155,0.06774247080186843
debris_risk_score,r,0.08701238242943905,0.23707486346515158
debris_risk_score,omega,0.0,0.0
debris_risk_score,h_km,0.6079641564550863,0.6990963844285566
debris_risk_score,ms,0.021208865132453066,0.0960874783415873
debris_risk_score,g_gain,0.0,0.0
debris_risk_score,k_fp,0.0,0.0
debris_risk_score,spacing,0.0,0.0
kessler_ratio,u,-6.418509633936696e-18,2.0220443435925263e-32
kessler_ratio,mp,-1.1037978984317074e-17,1.4870902627262983e-32
kessler_ratio,r,0.337516246246053,0.5830871310866678
kessler_ratio,omega,0.0,0.0
kessler_ratio,h_km,0.41167837124953194,0.6419685800286385
kessler_ratio,ms,-2.065549657234897e-18,2.2818643392355998e-32
kessler_ratio,g_gain,0.0,0.0
kessler_ratio,k_fp,0.0,0.0
kessler_ratio,spacing,0.0,0.0
stream_self_sustaining,u,1.6262475286847224e-05,0.002183954796250077
stream_self_sustaining,mp,0.014458214657910322,0.008714432326055389
stream_self_sustaining,r,1.1348330348000743e-10,1.2525985982010419e-15
stream_self_sustaining,omega,0.0,0.0
stream_self_sustaining,h_km,0.0001351746643542557,0.004906125218198955
stream_self_sustaining,ms,0.07619772841528516,0.16979893258909273
stream_self_sustaining,g_gain,0.0,0.0
stream_self_sustaining,k_fp,0.0,0.0
stream_self_sustaining,spacing,0.00047252393137486626,0.004211941311137206
service_lifetime_hr,u,0.17250878932448468,0.465167901720188
service_lifetime_hr,mp,0.05582562679402209,0.4258564715515166
service_lifetime_hr,r,-1.1285897226058995e-08,9.393430524634645e-14
service_lifetime_hr,omega,0.0,0.0
service_lifetime_hr,h_km,-0.019856820137956692,0.2566826264835852
service_lifetime_hr,ms,0.1984717872751666,0.5282414965708265
service_lifetime_hr,g_gain,0.0,0.0
service_lifetime_hr,k_fp,0.0,0.0
service_lifetime_hr,spacing,0.08249604390993703,0.3741221956894965
