r_mm,r_over_R,x_m,z_m,B_deg1_uT,B_deg4_uT,B_deg6_uT,error_pct
50.00,1.000,0.0000,0.0500,1600.00,2015.06,2015.06,0.00
50.00,1.000,0.0141,0.0480,1551.65,1878.65,1878.65,0.00
50.00,1.000,0.0270,0.0421,1413.79,1617.98,1617.98,0.00
50.00,1.000,0.0378,0.0327,1209.70,1325.12,1325.12,0.00
50.00,1.000,0.0455,0.0208,985.56,1171.73,1171.73,0.00
50.00,1.000,0.0495,0.0071,823.95,1219.26,1219.26,0.00
50.00,1.000,0.0495,-0.0071,823.95,1255.97,1255.97,0.00
50.00,1.000,0.0455,-0.0208,985.56,1105.54,1105.54,0.00
50.00,1.000,0.0378,-0.0327,1209.70,951.45,951.45,0.00
50.00,1.000,0.0270,-0.0421,1413.79,1120.88,1120.88,0.00
50.00,1.000,0.0141,-0.0480,1551.65,1391.56,1391.56,0.00
50.00,1.000,0.0000,-0.0500,1600.00,1506.96,1506.96,0.00
78.57,1.571,0.0000,0.0786,412.32,469.35,469.35,0.00
78.57,1.571,0.0221,0.0754,399.86,446.23,446.23,0.00
78.57,1.571,0.0425,0.0661,364.33,394.23,394.23,0.00
78.57,1.571,0.0594,0.0515,311.74,326.05,326.05,0.00
78.57,1.571,0.0715,0.0326,253.98,259.96,259.96,0.00
78.57,1.571,0.0778,0.0112,212.33,210.66,210.66,0.00
78.57,1.571,0.0778,-0.0112,212.33,189.51,189.51,0.00
78.57,1.571,0.0715,-0.0326,253.98,208.72,208.72,0.00
78.57,1.571,0.0594,-0.0515,311.74,263.51,263.51,0.00
78.57,1.571,0.0425,-0.0661,364.33,326.54,326.54,0.00
78.57,1.571,0.0221,-0.0754,399.86,371.92,371.92,0.00
78.57,1.571,0.0000,-0.0786,412.32,388.79,388.79,0.00
107.14,2.143,0.0000,0.1071,162.61,177.68,177.68,0.00
107.14,2.143,0.0302,0.1028,157.69,170.13,170.13,0.00
107.14,2.143,0.0579,0.0901,143.68,151.86,151.86,0.00
107.14,2.143,0.0810,0.0702,122.94,126.80,126.80,0.00
107.14,2.143,0.0975,0.0445,100.16,101.11,101.11,0.00
107.14,2.143,0.1061,0.0152,83.74,82.20,82.20,0.00
