output,parameter,S1,ST
k_eff,u,0.42319883974175665,0.6503181761020425
k_eff,g_gain,0.11816161500748781,0.26737807975251376
k_eff,eps,0.0,0.0
k_eff,lam,0.19054655807261484,0.3801474565141508
k_eff,mp,0.0,0.0
period_s,u,0.5639268505939472,0.7589981435039794
period_s,g_gain,0.032718626454436475,0.24902468587480203
period_s,eps,0.0,0.0
period_s,lam,0.03635674550871805,0.14680327958176254
period_s,mp,0.0,0.0
static_offset_m,u,-7.675231760415685e-18,1.1851154211023329e-32
static_offset_m,g_gain,0.4862558900368478,0.6502054992065809
static_offset_m,eps,0.31872494369181764,0.4867414361819175
static_offset_m,lam,-4.8446695889022054e-18,2.3407043031368922e-32
static_offset_m,mp,0.0,0.0
packet_rate_hz,u,0.1017897170823622,0.38190035054599486
packet_rate_hz,g_gain,0.0,0.0
packet_rate_hz,eps,0.0,0.0
packet_rate_hz,lam,0.04330403719450191,0.25242137801018366
packet_rate_hz,mp,0.783502477900119,0.9943867094047812
