profile,directory,time_horizon,orig_avg_cascade_prob,adj_avg_cascade_prob,orig_max_cascade_prob,adj_max_cascade_prob,concern_level
engineering-screen,profile_sweep_quick_20260428-214333,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
engineering-screen,profile_sweep_quick_20260428-225500,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
engineering-screen,profile_sweep_quick_20260429-074317,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
engineering-screen,profile_sweep_quick_20260430-062033,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
engineering-screen,profile_sweep_quick_20260501-074244,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
operational,profile_sweep_quick_20260428-214333,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
operational,profile_sweep_quick_20260428-225500,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
operational,profile_sweep_quick_20260429-074317,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
operational,profile_sweep_quick_20260430-062033,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
operational,profile_sweep_quick_20260501-074244,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
paper-baseline,profile_sweep_quick_20260428-214333,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
paper-baseline,profile_sweep_quick_20260428-225500,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
paper-baseline,profile_sweep_quick_20260429-074317,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
paper-baseline,profile_sweep_quick_20260430-062033,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
paper-baseline,profile_sweep_quick_20260501-074244,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
resilience,profile_sweep_quick_20260428-214333,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
resilience,profile_sweep_quick_20260428-225500,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
resilience,profile_sweep_quick_20260429-074317,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
resilience,profile_sweep_quick_20260430-062033,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
resilience,profile_sweep_quick_20260501-074244,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
smco-heavy,profile_sweep_quick_20260429-074317,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
smco-heavy,profile_sweep_quick_20260430-062033,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
smco-heavy,profile_sweep_quick_20260501-074244,10.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,HIGH
